trial,a0,a,x
1,20,-2.7,0
2,20,-0.4,0
3,20,11,0
4,20,-3,0
5,20,11,0
6,20,2,0
7,20,4,0
8,20,5,0
9,20,-2,0
10,20,-3,0
1,30,-3,-3
2,30,7,12
3,30,4.95,6
4,30,3.4,-6
5,30,-4,5.2
6,30,3.4,10
7,30,2.3,6
8,30,5.7,6.6
9,30,1.9,4
10,30,-2.3,8
1,40,-6,0
2,40,4,0
3,40,4.1,0
4,40,3.2,0
5,40,0.2,0
6,40,1.1,0
7,40,5.4,0
8,40,1.3,0
9,40,1.1,0
10,40,0.6,0
1,50,-6,0
2,50,1,0
3,50,0.2,0
4,50,1.2,0
5,50,0.9,0
6,50,6,0
7,50,7.7,0
8,50,13.4,0
9,50,-5,0
10,50,2,0
